id,name_jp,name_en,type1,type2,description
1,フシギダネ,Bulbasaur,くさ,どく,背中のタネには養分が詰まっており成長すると芽を出すポケモン。
2,フシギソウ,Ivysaur,くさ,どく,背中のつぼみが大きくなり重くて後ろ足で立つことが多い。
3,フシギバナ,Venusaur,くさ,どく,大きな花から強い香りを放ち戦うときは太陽光を集める。
4,ヒトカゲ,Charmander,ほのお,,尻尾の炎は体調のバロメータで元気なほど大きく燃える。
5,リザード,Charmeleon,ほのお,,気性が荒く炎のしっぽを振り回して威嚇する。
6,リザードン,Charizard,ほのお,ひこう,高温の炎を吐き空を飛び回る強力なポケモン。
7,ゼニガメ,Squirtle,みず,,甲羅に隠れて敵から身を守り水を噴射して攻撃する。
8,カメール,Wartortle,みず,,尻尾のふさふさは寿命が長い証で俊敏に動く。
9,カメックス,Blastoise,みず,,背中の大砲から高圧の水を撃ち出す。
10,キャタピー,Caterpie,むし,,においを放って敵の注意をそらす幼虫ポケモン。
11,トランセル,Metapod,むし,,硬い殻にこもって羽化の準備をしている。
12,バタフリー,Butterfree,むし,ひこう,羽のりん粉で敵を弱らせ花の蜜を好む。
13,ビードル,Weedle,むし,どく,鋭い毒針を持ち危険を感じるとすぐ攻撃する。
14,コクーン,Kakuna,むし,どく,動けないが体の中では急速に成長している。
15,スピアー,Beedrill,むし,どく,腕と尻尾の毒針を使い素早く攻撃する。
16,ポッポ,Pidgey,ノーマル,ひこう,穏やかだが敵に対しては砂を巻き上げて反撃する。
17,ピジョン,Pidgeotto,ノーマル,ひこう,鋭い爪で獲物を捕まえ縄張り意識が強い。
18,ピジョット,Pidgeot,ノーマル,ひこう,高速で空を飛び優雅な翼で風を操る。
19,コラッタ,Rattata,ノーマル,,前歯が鋭く繁殖力が高いポケモン。
20,ラッタ,Raticate,ノーマル,,強力な歯で固いものをかじり切る。
21,オニスズメ,Spearow,ノーマル,ひこう,短気で騒がしく小石でも投げてくる。
22,オニドリル,Fearow,ノーマル,ひこう,太いくちばしで穴を掘り長時間飛び続けられる。
23,アーボ,Ekans,どく,,長い体で獲物を締め上げ毒で仕留める。
24,アーボック,Arbok,どく,,胴の模様で敵を威嚇し強靭な体で締め付ける。
25,ピカチュウ,Pikachu,でんき,,ほっぺたの電気袋に電気をため仲間同士でしっぽを合わせて合図する。
26,ライチュウ,Raichu,でんき,,高電圧を放ちしっぽを地面に刺して放電する。
27,サンド,Sandshrew,じめん,,丸くなって身を守る砂漠で暮らすポケモン。
28,サンドパン,Sandslash,じめん,,鋭いツメで敵を切り裂き素早く穴を掘る。
29,ニドラン♀,Nidoran♀,どく,,小柄だが毒針で身を守る。
30,ニドリーナ,Nidorina,どく,,仲間思いで争いを嫌うが危険時は鋭い毒を使う。
